season,gw,code,pos,minutes,xG,xA,dc,saves,goals,assists,total_points,clean_sheet,bonus,yellow
2026-27,1,220566,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,220583,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,220627,DEF,90,0.0,0.01,12,0,0,0,10,1,2,0
2026-27,1,221389,GK,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,221399,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,221466,DEF,90,0.0,0.02,16,0,0,0,3,0,0,0
2026-27,1,221632,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,221820,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,222018,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,222531,MID,90,0.13,0.06,3,0,0,0,2,0,0,0
2026-27,1,222625,FWD,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,222683,MID,74,0.11,0.0,9,0,0,0,3,1,0,0
2026-27,1,222694,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,223094,FWD,90,0.74,0.02,3,0,0,0,2,0,0,0
2026-27,1,223340,MID,67,0.64,0.08,7,0,1,0,9,1,1,0
2026-27,1,223434,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,223541,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,223723,DEF,18,0.0,0.01,1,0,0,0,1,0,0,0
2026-27,1,223827,DEF,90,0.0,0.01,9,0,0,0,0,0,0,1
2026-27,1,224117,FWD,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,224967,DEF,90,0.0,0.05,4,0,0,0,6,1,0,0
2026-27,1,225796,DEF,90,0.1,0.07,6,0,0,0,0,0,0,1
2026-27,1,226182,DEF,90,0.0,0.0,3,0,0,0,6,1,0,0
2026-27,1,226597,DEF,90,0.05,0.01,4,0,0,0,5,1,0,1
2026-27,1,226944,MID,90,0.0,0.0,7,0,0,0,2,0,0,0
2026-27,1,226965,MID,28,0.0,0.11,1,0,0,0,1,0,0,0
2026-27,1,227444,DEF,90,0.11,0.02,7,0,0,0,2,0,0,0
2026-27,1,229164,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,229600,GK,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,230001,DEF,79,0.22,0.05,5,0,0,0,1,0,0,0
2026-27,1,230730,FWD,69,0.0,0.02,6,0,0,0,2,0,0,0
2026-27,1,231065,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,231416,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,231747,FWD,62,0.7,0.02,5,0,0,0,2,0,0,0
2026-27,1,231899,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,232112,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,232185,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,232351,DEF,84,0.02,0.07,6,0,0,0,6,1,0,0
2026-27,1,232413,MID,14,0.04,0.0,2,0,0,0,1,0,0,0
2026-27,1,232457,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,232571,GK,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,232653,MID,34,0.06,0.01,6,0,0,0,0,0,0,1
2026-27,1,232787,MID,45,0.02,0.06,3,0,0,0,0,0,0,1
2026-27,1,232859,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,232892,DEF,90,0.02,0.02,4,0,0,0,0,0,0,1
2026-27,1,232905,MID,19,0.0,0.0,3,0,0,0,0,0,0,1
2026-27,1,232928,MID,11,0.0,0.03,1,0,0,0,1,0,0,0
2026-27,1,235826,FWD,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,240514,GK,90,0.0,0.0,0,2,0,0,2,0,0,0
2026-27,1,241117,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,241293,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,242313,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,242880,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,242882,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,242898,MID,6,0.0,0.0,2,0,0,0,1,0,0,0
2026-27,1,243016,MID,27,0.0,0.01,3,0,0,0,1,0,0,0
2026-27,1,243298,MID,90,0.3,0.15,12,0,1,0,12,0,3,0
2026-27,1,243413,MID,90,0.0,0.44,3,0,0,1,6,1,0,0
2026-27,1,243526,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,243571,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,244042,FWD,8,0.02,0.0,1,0,0,0,1,0,0,0
2026-27,1,244723,DEF,90,0.0,0.01,5,0,0,0,1,0,0,0
2026-27,1,244850,MID,81,0.96,0.1,7,0,1,0,8,0,1,0
2026-27,1,244851,MID,82,0.28,0.19,9,0,1,1,13,0,3,0
2026-27,1,244858,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,244860,MID,78,0.01,0.01,7,0,0,0,3,1,0,0
2026-27,1,244954,DEF,73,0.0,0.0,5,0,0,0,0,0,0,0
2026-27,1,246301,DEF,90,0.0,0.03,10,0,0,0,3,0,0,0
2026-27,1,247348,DEF,54,0.23,0.01,4,0,0,0,0,0,0,0
2026-27,1,247412,FWD,27,0.25,0.01,0,0,0,0,1,0,0,0
2026-27,1,247632,MID,14,0.03,0.07,4,0,0,0,1,0,0,0
2026-27,1,248056,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,248857,MID,22,0.0,0.04,2,0,0,0,1,0,0,0
2026-27,1,248875,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,249231,MID,90,0.77,0.12,10,0,1,0,10,1,2,0
2026-27,1,250199,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,424876,MID,90,0.85,0.27,7,0,1,0,8,0,1,0
2026-27,1,427623,DEF,90,0.0,0.0,16,0,0,0,3,0,0,0
2026-27,1,427637,MID,81,0.01,0.01,7,0,0,0,3,1,0,0
2026-27,1,428580,MID,90,0.0,0.01,9,0,0,0,2,0,0,0
2026-27,1,428971,GK,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,430871,MID,79,0.24,0.21,3,0,0,0,2,0,0,0
2026-27,1,432422,MID,90,0.04,0.06,4,0,0,0,2,0,0,0
2026-27,1,432714,MID,73,0.0,0.16,8,0,0,0,3,1,0,0
2026-27,1,432720,GK,90,0.0,0.0,0,3,0,0,9,1,2,0
2026-27,1,432830,DEF,90,0.34,0.04,3,0,0,0,6,1,0,0
2026-27,1,432987,GK,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,433036,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,433154,MID,62,0.05,0.02,5,0,0,0,2,0,0,0
2026-27,1,433590,DEF,20,0.05,0.0,3,0,0,0,1,0,0,0
2026-27,1,433969,GK,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,434399,DEF,90,0.0,0.29,8,0,0,0,1,0,0,0
2026-27,1,434752,DEF,90,0.11,0.0,12,0,0,0,10,1,2,0
2026-27,1,435997,MID,24,0.0,0.16,5,0,0,0,1,0,0,0
2026-27,1,436761,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,436893,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,437495,GK,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,437499,DEF,90,0.0,0.2,12,0,0,1,6,0,0,0
2026-27,1,437505,FWD,23,0.0,0.0,0,0,0,0,1,0,0,0
2026-27,1,437730,MID,90,0.06,0.02,5,0,0,0,2,0,0,0
2026-27,1,437738,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,438098,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,438234,FWD,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,438464,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,439509,MID,75,0.19,0.14,6,0,0,1,6,1,0,0
2026-27,1,439668,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,440089,MID,14,0.0,0.11,4,0,0,0,1,0,0,0
2026-27,1,440993,MID,90,0.24,0.32,12,0,0,1,9,1,1,0
2026-27,1,441164,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,441191,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,441264,FWD,66,0.3,0.0,0,0,0,0,2,0,0,0
2026-27,1,441266,MID,77,0.06,0.05,11,0,0,1,5,0,0,0
2026-27,1,441302,DEF,81,0.03,0.0,9,0,0,0,0,0,0,0
2026-27,1,442967,MID,79,0.61,0.0,9,0,0,0,2,0,0,0
2026-27,1,443261,MID,19,0.1,0.0,2,0,1,0,7,0,1,0
2026-27,1,444102,FWD,74,0.0,0.21,8,0,0,1,4,1,0,1
2026-27,1,444145,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,444172,GK,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,444180,MID,23,0.03,0.35,8,0,0,0,1,0,0,0
2026-27,1,444307,GK,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,444463,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,444765,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,444884,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,445028,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,445044,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,445087,DEF,20,0.0,0.03,4,0,0,0,1,0,0,0
2026-27,1,445122,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,446008,MID,90,0.5,0.23,4,0,0,0,2,0,0,0
2026-27,1,448047,MID,25,0.0,0.02,3,0,0,0,1,0,0,0
2026-27,1,448089,MID,39,0.0,0.01,7,0,0,0,-2,0,0,0
2026-27,1,448104,DEF,9,0.0,0.0,0,0,0,0,1,0,0,0
2026-27,1,448514,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,449027,GK,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,449428,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,449429,DEF,90,0.0,0.0,7,0,0,0,2,0,0,0
2026-27,1,449434,MID,75,0.22,0.01,2,0,1,0,9,0,2,0
2026-27,1,449871,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,450542,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,451284,DEF,90,0.0,0.01,7,0,0,0,1,0,0,0
2026-27,1,451302,GK,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,451340,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,451490,DEF,26,0.12,0.0,4,0,0,0,1,0,0,0
2026-27,1,454490,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,455084,DEF,90,0.0,0.01,7,0,0,0,2,0,0,0
2026-27,1,456512,MID,61,0.0,0.0,3,0,0,0,3,1,0,0
2026-27,1,457569,GK,90,0.0,0.0,0,4,0,0,2,0,0,0
2026-27,1,458249,FWD,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,460028,DEF,90,0.01,0.03,4,0,0,0,0,0,0,1
2026-27,1,460842,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,461102,DEF,90,0.02,0.01,10,0,0,0,3,0,0,0
2026-27,1,461199,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,461587,MID,24,0.0,0.0,3,0,0,0,1,0,0,0
2026-27,1,462387,FWD,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,462424,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,462635,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,463034,FWD,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,463067,FWD,90,0.08,0.44,7,0,0,1,5,1,0,0
2026-27,1,463210,MID,23,0.0,0.0,3,0,0,0,1,0,0,0
2026-27,1,463726,DEF,90,0.03,0.0,9,0,0,0,1,0,0,0
2026-27,1,463936,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,463981,DEF,90,0.0,0.0,6,0,0,0,1,0,0,0
2026-27,1,464353,GK,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,465247,GK,90,0.0,0.0,0,2,0,0,1,0,0,0
2026-27,1,465351,DEF,33,0.0,0.04,1,0,0,0,1,0,0,0
2026-27,1,465390,DEF,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,465525,MID,0,0.0,0.0,0,0,0,0,0,0,0,0
2026-27,1,465642,DEF,90,0.0,0.0,15,0,0,0,3,0,0,0
2026-27,1,465680,FWD,1,0.0,0.0,0,0,0,0,1,0,0,0
